Area_log,Room,Parking,Warehouse,Elevator,Address,Price_log
4.61512051684126,2,False,False,False,Shahrake Qods,9.93632592256778
4.948759890378168,1,False,False,False,Shahryar,9.86963755125584
4.2626798770413155,2,True,True,True,Northern Janatabad,11.529464635725201
4.110873864173311,2,True,True,False,West Ferdows Boulevard,11.107475406748813
4.343805421853684,2,True,True,True,North Program Organization,11.36983619818562
5.003946305945459,3,True,True,True,Daryan No,12.204409613458587
4.330733340286331,2,True,True,True,North Program Organization,11.24723538610811
3.713572066704308,1,True,True,False,Pirouzi,10.676700440505114
4.189654742026425,2,True,True,True,Southern Program Organization,11.234106267619412
4.948759890378168,3,True,True,True,Rudhen,11.800615012394072
4.709530201312334,2,True,True,True,West Pars,11.800615012394072
4.2626798770413155,2,True,False,True,Afsarieh,10.915106645867503
4.859812404361672,3,True,True,True,Marzdaran,12.316425165375648
4.553876891600541,2,True,True,True,Parand,9.86963755125584
4.219507705176107,1,True,True,True,Punak,11.24723538610811
4.330733340286331,1,True,True,True,Shahrake Qods,9.983576566829804
4.875197323201151,2,True,True,True,Dorous,13.241628567460351
3.713572066704308,0,False,False,False,Shahrake Qods,9.020108007087845
4.584967478670572,2,True,True,True,Pardis,9.741027444837728
4.709530201312334,2,True,True,True,Shahran,11.76239409080542
5.017279836814924,3,True,True,True,Sadeghieh,12.206077645517674
4.330733340286331,2,False,False,False,Chahardangeh,10.165890277802454
4.927253685157205,3,True,True,True,ShahrAra,12.388398368982115
4.454347296253507,2,True,True,True,Parand,9.52278846895776
4.23410650459726,2,False,True,False,Pakdasht,9.570412638473872
4.3694478524670215,2,False,True,False,Baqershahr,10.191207249280106
4.454347296253507,2,True,True,True,Parand,9.807398919815938
4.61512051684126,2,True,True,False,Parand,10.661196769582157
4.276666119016055,2,True,True,True,Punak,11.44394327199769
4.948759890378168,3,True,True,True,Gisha,12.830229624242461
4.919980925828125,3,True,True,False,Parand,10.12667110305036
3.8918202981106265,1,False,False,False,Jeyhoon,10.251829422656254
4.61512051684126,2,True,True,True,Lavizan,11.608244735642321
4.418840607796598,2,True,False,True,Shams Abad,11.60216571451028
4.795790545596741,3,True,True,True,Fatemi,11.982935344196433
4.941642422609304,3,True,True,True,Gisha,12.402191620338487
4.709530201312334,3,True,True,True,Keshavarz Boulevard,11.78803637543928
4.3694478524670215,2,False,False,True,Parand,9.420141710504044
4.382026634673881,2,False,False,False,Baghestan,10.12667110305036
4.204692619390966,2,True,True,True,Salsabil,10.959557617938563
4.3694478524670215,2,True,True,True,Kahrizak,10.165890277802454
4.454347296253507,2,True,True,True,Shahryar,10.764286715905591
4.61512051684126,2,True,True,False,Qarchak,10.596659732783579
4.394449154672439,2,True,True,True,Northren Jamalzadeh,11.695255355062795
3.8066624897703196,1,True,True,False,Salsabil,10.463131911491967
4.795790545596741,2,True,True,False,Shahryar,10.596659732783579
3.9318256327243257,1,False,True,False,Shahrake Qods,9.335591452240061
4.804021044733257,3,True,True,False,Ostad Moein,11.608244735642321
4.394449154672439,2,True,True,True,Azarbaijan,11.44394327199769
4.2626798770413155,2,False,True,True,Bahar,10.596659732783579
5.081404364984463,1,False,False,False,Qarchak,4.795790545596741
3.713572066704308,0,False,False,False,Pakdasht,8.612685172875459
4.48863636973214,2,True,True,True,Railway,11.465145255624686
4.955827057601261,3,True,True,True,Persian Gulf Martyrs Lake,11.751950239425476
4.948759890378168,3,True,True,True,Persian Gulf Martyrs Lake,10.99654561165586
4.795790545596741,2,True,True,True,Persian Gulf Martyrs Lake,10.839600519357369
4.204692619390966,2,False,True,False,Beryanak,10.414343075855122
4.2626798770413155,2,True,True,True,Punak,11.667084744760507
4.330733340286331,2,True,False,True,Heshmatieh,11.51293546492023
4.2626798770413155,2,False,True,True,Elm-o-Sanat,11.002116507732017
5.017279836814924,3,True,True,True,Saadat Abad,13.410046954854977
4.564348191467836,2,True,True,True,Golestan,10.363051565623161
4.852030263919617,2,True,True,True,Southern Janatabad,12.206077645517674
4.820281565605037,3,True,True,True,Shahr-e-Ziba,11.722654077000726
4.1588830833596715,2,True,True,True,Southern Janatabad,11.107475406748813
4.51085950651685,2,True,True,True,Punak,11.529464635725201
4.663439094112067,2,True,True,True,Pardis,9.911836106179345
5.198497031265826,3,True,True,True,Pasdaran,12.706850963741102
4.795790545596741,3,True,False,True,Pirouzi,11.722654077000726
4.189654742026425,2,True,True,True,Feiz Garden,11.330615868104754
5.0689042022202315,3,True,True,True,Farmanieh,12.76378470824438
4.976733742420574,3,True,True,True,Chardivari,12.446667041257989
4.976733742420574,3,True,True,True,Punak,12.446667041257989
4.875197323201151,3,True,True,True,Gheitarieh,12.923914877701906
5.5053315359323625,3,True,True,True,Farmanieh,13.708297583118476
5.25227342804663,3,True,True,True,Kamranieh,13.60479076121576
4.1588830833596715,2,True,True,True,Central Janatabad,11.51293546492023
4.330733340286331,2,True,True,True,East Ferdows Boulevard,11.156264806643742
4.48863636973214,2,True,False,True,Gholhak,11.961882089252944
4.6913478822291435,2,True,True,True,Pasdaran,12.631343648903034
4.770684624465665,2,True,True,True,Islamshahr,10.871440510734077
5.303304908059076,3,True,True,True,Pasdaran,12.899222326086994
4.189654742026425,1,True,True,False,Pirouzi,10.973946049805868
4.51085950651685,2,True,True,True,Central Janatabad,11.744045122410057
4.836281906951478,2,True,True,True,Heravi,12.506180941677357
4.948759890378168,3,True,True,True,Heravi,12.622590875533811
4.276666119016055,2,False,True,True,Hashemi,10.85258752639956
4.276666119016055,2,False,True,True,Jeyhoon,10.909027771628336
5.4680601411351315,4,True,True,True,Gheitarieh,13.410046954854977
4.219507705176107,2,True,True,True,Central Janatabad,11.425925033375243
4.110873864173311,1,True,True,True,Punak,10.973946049805868
5.3981627015177525,3,True,True,True,Heravi,13.148682627278259
3.8066624897703196,1,True,True,False,Andisheh,9.364577048105653
4.23410650459726,1,True,True,True,Heravi,11.828959325106709
4.61512051684126,2,True,True,True,Pasdaran,12.493758480474876
4.465908118654584,2,True,True,True,Pardis,9.86963755125584
4.442651256490317,2,True,True,True,Pardis,9.834548429604697
4.553876891600541,2,True,True,True,Heravi,11.982935344196433
4.02535169073515,1,False,True,False,West Ferdows Boulevard,10.85258752639956
4.736198448394496,2,True,True,True,Saadat Abad,12.429220196836383
4.276666119016055,2,True,True,True,Islamshahr,9.952325334619427
4.2626798770413155,2,True,True,False,Dehkade Olampic,11.107475406748813
5.303304908059076,3,True,True,True,Golestan,11.289794413577894
4.672828834461906,2,True,True,True,Golestan,10.50965071936843
5.771441123130016,4,True,True,True,Saadat Abad,13.592368256649284
4.74493212836325,2,True,True,True,West Pars,11.7545714261151
4.61512051684126,2,True,True,True,Punak,12.206077645517674
4.812184355372417,2,True,True,True,Saadat Abad,12.172176249013619
5.303304908059076,2,True,True,False,Damavand,11.667084744760507
5.043425116919247,3,True,True,True,Saadat Abad,12.923914877701906
5.351858133476067,3,True,True,True,Pasdaran,13.171155446333852
5.303304908059076,3,True,True,True,East Ferdows Boulevard,12.812211185460383
